File,Company,Faction,BidAmount,Ratio
입찰결과 - 260113 (종심-고) 새만금항 신항 방파제(연장) 축조공사_Rev.N4.10.xlsb,쌍용건설,우리(주황),64438018230.0,0.7751832032
입찰결과 - 260113 (종심-고) 새만금항 신항 방파제(연장) 축조공사_Rev.N4.10.xlsb,남광토건,우리(주황),64445001820.0,0.7752811605
입찰결과 - 260113 (종심-고) 새만금항 신항 방파제(연장) 축조공사_Rev.N4.10.xlsb,동양건설산업,개(그린),64488215480.0,0.7758873091
입찰결과 - 260113 (종심-고) 새만금항 신항 방파제(연장) 축조공사_Rev.N4.10.xlsb,에이치디씨현대산업개발,무소속(흰색),64494939443.0,0.7759816247
입찰결과 - 260113 (종심-고) 새만금항 신항 방파제(연장) 축조공사_Rev.N4.10.xlsb,동부건설,원숭이(하늘),64514903372.0,0.7762616543
입찰결과 - 260113 (종심-고) 새만금항 신항 방파제(연장) 축조공사_Rev.N4.10.xlsb,에이치엘디앤아이한라,우리(주황),64520659450.0,0.7763423936
입찰결과 - 260113 (종심-고) 새만금항 신항 방파제(연장) 축조공사_Rev.N4.10.xlsb,비에스한양,원숭이(하늘),64526402586.0,0.7764229513
입찰결과 - 260113 (종심-고) 새만금항 신항 방파제(연장) 축조공사_Rev.N4.10.xlsb,에이치제이중공업,원숭이(하늘),64552961234.0,0.7767954837
입찰결과 - 260113 (종심-고) 새만금항 신항 방파제(연장) 축조공사_Rev.N4.10.xlsb,케이씨씨건설,개(그린),64557244994.0,0.776855571
입찰결과 - 260113 (종심-고) 새만금항 신항 방파제(연장) 축조공사_Rev.N4.10.xlsb,디엘이앤씨,개(그린),64564708499.0,0.77696026
입찰결과 - 260113 (종심-고) 새만금항 신항 방파제(연장) 축조공사_Rev.N4.10.xlsb,지에스건설,원숭이(하늘),64593347028.0,0.7773619664
입찰결과 - 260113 (종심-고) 새만금항 신항 방파제(연장) 축조공사_Rev.N4.10.xlsb,극동건설,우리(주황),100339893.0,0.7777605188
입찰결과 - 260113 (종심-고) 새만금항 신항 방파제(연장) 축조공사_Rev.N4.10.xlsb,롯데건설,원숭이(하늘),195456665.0,0.779094701
입찰결과 - 260113 (종심-고) 새만금항 신항 방파제(연장) 축조공사_Rev.N4.10.xlsb,디엘건설,무소속(흰색),488000400.0,0.7831981483
입찰결과 - 260113 (종심-고) 새만금항 신항 방파제(연장) 축조공사_Rev.N4.10.xlsb,대우건설,원숭이(하늘),745431363.0,0.7868090763
입찰결과 - 260113 (종심-고) 새만금항 신항 방파제(연장) 축조공사_Rev.N4.10.xlsb,금호건설,원숭이(하늘),1440408227.0,0.7965573654
입찰결과 - 260113 (종심-고) 새만금항 신항 방파제(연장) 축조공사_Rev.N4.10.xlsb,현대건설,개(그린),5261579195.0,0.8501560984
입찰결과 - 260115 (종평) 검단2일반산업단지 개발사업 단지조성공사_Rev.N4.11.xlsb,에이치디씨현대산업개발,무소속(흰색),94880639805.0,0.8816792215126049
