File: 입찰결과 - 260212 (종심) 계양~강화 고속국도 건설공사(제3공구)_Rev.N4.12.xlsb
--------------------------------------------------
First 20 rows:
               0            1                      2         3         4     5           6         7             8            9       10           11   12        13   14  15          16             17  18        19       20             21        22  23       24     25       26  27          28    29  30  31          32
0   입   찰   결   과          NaN                    NaN       NaN       NaN   NaN         NaN       NaN           NaN          NaN     NaN          NaN  NaN       NaN  NaN NaN        입찰방법  종합심사낙찰제(일반공사) NaN       NaN   낙찰우선순위           최저가격       NaN NaN  결과표 보이기     실제      NaN NaN         NaN   NaN NaN NaN         NaN
1             NaN          NaN                    NaN       NaN       NaN   NaN         NaN       NaN           NaN          NaN     NaN          NaN  NaN       NaN  NaN NaN        발주기관         한국도로공사 NaN       NaN      낙찰사      동부건설 주식회사        순위 NaN  단가감점 고려   고려안함      NaN NaN        설계단가   0.7 NaN NaN         NaN
2          □ 발주정보          NaN                    NaN       NaN       NaN   NaN    □ 낙찰예정정보       NaN           NaN          NaN     NaN          NaN  NaN       NaN  NaN NaN        공고번호     2025-11864 NaN       NaN   낙찰예정금액   154764864282         7 NaN  기준단가하한률    NaN      NaN NaN        업평단가   0.3 NaN NaN         NaN
3           공 사 명          NaN  계양~강화 고속국도 건설공사(제3공구)       NaN       NaN   NaN        기초금액       NaN  169799861000          NaN     NaN          NaN  NaN       NaN  NaN NaN    발주번호(철도)            NaN NaN       NaN     당사투찰   154857527325        16 NaN      NaN     예가  단가생성기준률 NaN  입찰가격평가 A계수   0.5 NaN NaN         NaN
4           발 주 처          NaN                 한국도로공사       NaN       NaN   NaN        예정가격       NaN  169885609931          NaN     NaN        (예가 :  NaN  0.000505  NaN NaN         참여사             27 NaN       NaN   가격만점하한   154743592071  0.911329 NaN      NaN      0        1 NaN  입찰가격평가 B계수   1.0 NaN NaN         NaN
5         낙찰자결정방법          NaN          종합심사낙찰제(일반공사)       NaN       NaN   NaN        균형가격       NaN  154838756491          NaN     NaN      (예가대비 :  NaN  0.911429  NaN NaN        무효제외             27 NaN       NaN   가격균가차이      -95164420  -0.00056 NaN      NaN -0.003    0.997 NaN   종심제 가격 만점  50.0 NaN NaN         NaN
6           입 찰 일          NaN           46065.458333       NaN       NaN   NaN        당사순위       NaN    16 / 27 개사          NaN     NaN          NaN  NaN       NaN  NaN NaN        상위제외              5 NaN       NaN  예가미감점금액              0         0 NaN      NaN   보정금액      NaN NaN   종평제 가격 만점  35.0 NaN NaN         NaN
7            특이사항          NaN                    NaN       NaN       NaN   NaN       낙찰예정사       NaN     동부건설 주식회사          NaN     NaN          NaN  NaN       NaN  NaN NaN        하위제외              5 NaN       NaN   예가당사차이  -154857527325       NaN NaN        0     차이    0.003 NaN         NaN   NaN NaN NaN         NaN
8             NaN          NaN                    NaN       NaN       NaN   NaN         NaN       NaN           NaN          NaN     NaN          NaN  NaN       NaN  NaN NaN         NaN            NaN NaN       NaN      NaN            NaN       NaN NaN      NaN    NaN      NaN NaN         NaN   NaN NaN NaN         NaN
9              순위          회사명                   입찰금액      예가대비      기초대비  업체예가       당사 차이      상위차이   가격점수\n(A+B)  입찰금액점수\n(A)     NaN  단가감점점수\n(B)  NaN      우선순위   비고 NaN  균형가격\n포함여부           임박입찰 NaN      수주확률      NaN            회사명       투찰율 NaN     입찰금액    NaN      NaN NaN         NaN   NaN NaN NaN  단가생성기준율 추정
10              1  계룡건설산업 주식회사           154687802056  0.910541  0.911001   0x7  -169725269         0        49.999            =  49.999            -    0        16  NaN NaN           -       0.000185 NaN         -      NaN    계룡건설산업 주식회사       NaN NaN        0    NaN      NaN NaN         NaN   NaN NaN NaN         0x7
11              2    디엘건설 주식회사           154703590757  0.910634  0.911094   0x7  -153936568  15788701        49.999            =  49.999            -    0        17  NaN NaN           -       0.000313 NaN         -      NaN      디엘건설 주식회사       NaN NaN        0    NaN      NaN NaN         NaN   NaN NaN NaN         0x7
12              3  코오롱글로벌 주식회사           154724720614  0.910758  0.911218   0x7  -132806711  21129857        49.999            =  49.999            -    0        18  NaN NaN           -       0.000127 NaN         -      NaN    코오롱글로벌 주식회사       NaN NaN        0    NaN      NaN NaN         NaN   NaN NaN NaN         0x7
13              4    주식회사 대우건설           154725436721  0.910762  0.911222   0x7  -132090604    716107        49.999            =  49.999            -    0        19  NaN NaN           -       0.000197 NaN         -      NaN      주식회사 대우건설       NaN NaN        0    NaN      NaN NaN         NaN   NaN NaN NaN         0x7
14              5    현대건설 주식회사           154733625317  0.910811  0.911271   0x7  -123902008   8188596        49.999            =  49.999            -    0        20  NaN NaN           -       0.000255 NaN  0.027106      NaN      현대건설 주식회사       NaN NaN        0    NaN      NaN NaN         NaN   NaN NaN NaN         0x7
15              6    금호건설 주식회사           154740464278  0.910851  0.911311   0x7  -117063047   6838961        49.999            =  49.999            -    0        21  NaN NaN          포함       0.000116 NaN    0.2337      NaN      금호건설 주식회사       NaN NaN        0    NaN      NaN NaN         NaN   NaN NaN NaN         0x7
16              7    동부건설 주식회사           154764864282  0.910995  0.911455   0x7   -92663043  24400004            50            =      50            -    0         1  NaN NaN          포함       0.000104 NaN  0.739194      NaN      동부건설 주식회사       NaN NaN        0    NaN      NaN NaN         NaN   NaN NaN NaN         0x7
17              8      주식회사 한화           154770675893  0.911029  0.911489   0x7   -86851432   5811611            50            =      50            -    0         2  NaN NaN          포함       0.000266 NaN         -      NaN        주식회사 한화       NaN NaN        0    NaN      NaN NaN         NaN   NaN NaN NaN         0x7
